,Shooter,value_added_total,shot_worth_total,PTS_total,Shot_taken,value_added_per_shot,shot_worth_per_shot,PTS_per_shot,SHOT_RESULT,probs,mean_pps,SHOT_DIST,SHOT_CLOCK,CLOSE_DEF_DIST,TOUCH_TIME,DRIBBLES
32,"Barnes, Matt",-48.99046033,694.935663,682,616,-0.079529968,1.12814231,1.107142857,0.444805195,0.447600815,0.994268579,16.98798701,12.59234556,5.373376623,1.32224026,0.472402597
33,"Barron, Earl",-14.79586466,37.62281981,26,39,-0.379381145,0.964687687,0.666666667,0.307692308,0.461954057,0.994268579,13.9025641,13.65509586,4.984615385,1.346153846,0.384615385
34,"Barton, Will",-49.2603714,352.7636101,323,350,-0.140743918,1.007896029,0.922857143,0.428571429,0.462092379,0.994268579,12.19314286,13.10505636,3.854857143,3.230571429,2.562857143
35,"Bass, Brandon",-46.49960847,689.7547857,693,678,-0.068583493,1.017337442,1.022123894,0.504424779,0.499482394,0.994268579,10.45840708,12.67260477,3.658259587,1.854572271,0.715339233
36,"Batum, Nicolas",-91.39221308,632.8811134,580,598,-0.152829788,1.058329621,0.969899666,0.401337793,0.432770097,0.994268579,18.40167224,12.48167842,5.600334448,2.049832776,1.307692308
37,"Bayless, Jerryd",-70.90856334,511.1419437,470,509,-0.139309555,1.004208141,0.923379175,0.42632613,0.457114467,0.994268579,15.12180747,11.68547319,4.839685658,3.895088409,3.400785855
38,"Baynes, Aron",-5.854580823,350.6225231,367,323,-0.018125637,1.085518647,1.13622291,0.566563467,0.540515543,0.994268579,6.059752322,12.40087412,3.206811146,1.09752322,0.19504644
39,"Bazemore, Kent",-50.62882075,356.1177946,327,328,-0.154356161,1.085724984,0.99695122,0.426829268,0.464839625,0.994268579,14.01219512,12.42383679,5.107317073,2.033841463,1.426829268
40,"Beal, Bradley",-61.85200245,835.8427551,827,847,-0.073024796,0.986827338,0.976387249,0.426210153,0.436005744,0.994268579,15.98878394,12.49752757,4.539787485,2.552774498,1.989374262
41,"Beasley, Michael",-23.4739895,193.697414,186,205,-0.114507266,0.944865434,0.907317073,0.434146341,0.441615467,0.994268579,13.02682927,10.94168886,4.072682927,2.33804878,1.190243902
42,"Belinelli, Marco",-7.212305579,467.9678173,484,470,-0.015345331,0.995676207,1.029787234,0.423404255,0.408342224,0.994268579,18.74829787,11.66993022,5.088723404,1.819148936,1.138297872
43,"Bennett, Anthony",-60.08229537,294.1587893,253,294,-0.204361549,1.0005401,0.860544218,0.418367347,0.48632513,0.994268579,13.64659864,13.16681528,4.708163265,1.244217687,0.367346939
44,"Beverley, Patrick",-69.34078568,568.9765018,523,532,-0.130339823,1.069504703,0.983082707,0.383458647,0.419418644,0.994268579,17.46071429,12.19969671,5.176315789,3.012218045,2.436090226
45,"Bhullar, Sim",0.50447431,1.49552569,2,2,0.252237155,0.747762845,1,0.5,0.373881422,0.994268579,11.15,4.1,3.55,1.8,1
46,"Biyombo, Bismack",-24.51174604,212.4367493,202,185,-0.132495925,1.148306753,1.091891892,0.545945946,0.574153377,0.994268579,4.21027027,13.90863501,2.442162162,1.396756757,0.351351351
47,"Black, Tarik",-6.841302042,295.1974329,304,262,-0.02611184,1.126707759,1.160305344,0.580152672,0.563247059,0.994268579,4.677480916,13.0944928,2.887022901,1.477480916,0.358778626
48,"Blair, DeJuan",-6.877814206,55.52945675,52,57,-0.120663407,0.974200996,0.912280702,0.456140351,0.487100498,0.994268579,7.233333333,14.05519677,3.031578947,1.454385965,0.473684211
49,"Blake, Steve",-12.74132377,318.7200937,321,327,-0.038964293,0.974679186,0.981651376,0.373088685,0.371560565,0.994268579,21.45168196,11.22351901,5.710091743,3.434250765,3.23853211
50,"Bledsoe, Eric",-84.85606243,1043.348826,1014,1028,-0.082544808,1.014930764,0.986381323,0.450389105,0.459970178,0.994268579,13.27762646,13.71878247,4.404182879,4.878599222,4.621595331
51,"Blue, Vander",-8.057076921,27.31093552,20,30,-0.268569231,0.910364517,0.666666667,0.3,0.395987373,0.994268579,13.73666667,12.14616212,3.763333333,3.643333333,2.9
52,"Bogdanovic, Bojan",-39.87435789,607.496871,605,561,-0.071077287,1.082882123,1.078431373,0.458110517,0.454874848,0.994268579,15.58110517,12.37909942,4.794117647,1.803743316,1.210338681
53,"Bogut, Andrew",-24.35808624,390.2157746,390,349,-0.069793943,1.118096775,1.11747851,0.558739255,0.559048388,0.994268579,5.053008596,13.80199127,3.086819484,1.507449857,0.710601719
54,"Bonner, Matt",-8.290271226,225.7913601,232,229,-0.036202058,0.985988472,1.013100437,0.406113537,0.390054803,0.994268579,18.27467249,11.04226995,5.517467249,1.386899563,0.781659389
55,"Booker, Trevor",-28.14272143,472.2816983,477,462,-0.060914981,1.022254758,1.032467532,0.484848485,0.477713803,0.994268579,10.93593074,11.64788093,4.175541126,1.466017316,0.670995671
56,"Boozer, Carlos",-19.17156356,698.7269497,740,735,-0.02608376,0.950648911,1.006802721,0.503401361,0.475324456,0.994268579,9.855510204,12.19062927,3.463401361,2.00244898,0.715646259
57,"Bosh, Chris",-6.194870105,699.9861889,749,744,-0.008326438,0.940841652,1.00672043,0.461021505,0.428929282,0.994268579,15.26424731,10.21503003,4.492069892,2.297043011,0.715053763
58,"Bradley, Avery",-65.69739366,998.0449356,990,1010,-0.065046924,0.988163303,0.98019802,0.428712871,0.428296235,0.994268579,18.02990099,13.36644643,4.438019802,1.904059406,1.51980198
59,"Brand, Elton",-9.542655699,87.68148631,84,93,-0.102609201,0.942811681,0.903225806,0.451612903,0.469258239,0.994268579,11.90107527,12.02307759,4.956989247,1.13655914,0.290322581
60,"Brewer, Corey",-174.4934176,854.9041832,728,789,-0.22115769,1.083528749,0.922686946,0.422053232,0.484986988,0.994268579,12.79569075,14.06571232,4.198986058,1.735614702,1.069708492
61,"Brooks, Aaron",-7.684238895,763.1798077,800,809,-0.009498441,0.943361938,0.988875155,0.420271941,0.406363102,0.994268579,14.92991347,11.70969966,3.689616811,4.981334981,5.370828183
62,"Brown, Jabari",-12.13909286,169.5168931,163,170,-0.071406429,0.997158195,0.958823529,0.411764706,0.431362006,0.994268579,15.50764706,12.8983736,4.401764706,2.447647059,1.729411765
63,"Brown, Lorenzo",-17.18454368,120.9034906,110,122,-0.140856915,0.991012218,0.901639344,0.426229508,0.455883754,0.994268579,12.84508197,13.01141338,4.150819672,3.655737705,3.221311475
64,"Brown, Markel",-56.52557166,212.340103,167,208,-0.271757556,1.02086588,0.802884615,0.360576923,0.45198516,0.994268579,14.49278846,12.672079,4.419230769,2.192788462,1.524038462
65,"Brown, Shannon",-5.393222553,21.21629266,17,19,-0.283853819,1.116646982,0.894736842,0.368421053,0.494662659,0.994268579,14.19473684,11.9762494,4.647368421,3.115789474,2.421052632
66,"Bryant, Kobe",-75.72295013,618.3817557,586,710,-0.106652042,0.870960219,0.825352113,0.374647887,0.392711146,0.994268579,16.45605634,12.11686701,3.243098592,4.628591549,3.490140845
67,"Budinger, Chase",-43.80494519,404.6444932,386,387,-0.113191073,1.045593006,0.997416021,0.431524548,0.455137633,0.994268579,14.63540052,12.3393568,4.179844961,1.308527132,0.591731266
68,"Bullock, Reggie",-16.17473526,75.08371469,63,70,-0.231067647,1.072624496,0.9,0.342857143,0.413950922,0.994268579,19.82,11.62212484,5.678571429,1.302857143,0.5
69,"Burke, Trey",-104.8209871,917.7500162,862,1003,-0.104507465,0.915005001,0.859421735,0.367896311,0.390060417,0.994268579,16.86181456,10.63244464,4.040677966,3.48773679,3.211365902
70,"Burks, Alec",-30.63526887,277.3582075,268,300,-0.102117563,0.924527358,0.893333333,0.403333333,0.421725021,0.994268579,13.37,10.88462462,3.964,3.025666667,2.616666667
71,"Butler, Caron",-0.839004512,379.6424071,405,395,-0.002124062,0.961120018,1.025316456,0.407594937,0.383730484,0.994268579,20.31721519,12.29173064,4.92,1.689113924,0.670886076
72,"Butler, Jimmy",-40.29418237,900.4627164,913,910,-0.044279321,0.989519469,1.003296703,0.461538462,0.457042206,0.994268579,12.91824176,11.93340748,4.01989011,2.505824176,1.441758242
73,"Butler, Rasual",-11.58119541,507.137107,525,516,-0.022444177,0.982823851,1.01744186,0.420542636,0.408764389,0.994268579,17.94302326,12.10216757,4.254263566,1.584883721,0.748062016
74,"Buycks, Dwight",7.511267597,34.96060293,43,40,0.18778169,0.874015073,1.075,0.45,0.392064743,0.994268579,14.9275,10.14621847,3.5,5.865,6.1
75,"Bynum, Will",-10.21587031,28.32663222,20,31,-0.329544204,0.91376233,0.64516129,0.322580645,0.407697751,0.994268579,15.94516129,13.79032258,4.458064516,5.551612903,5.580645161
76,"Caboclo, Bruno",-2.489634471,11.87303178,10,12,-0.207469539,0.989419315,0.833333333,0.333333333,0.448490344,0.994268579,11.54166667,9.85,4.916666667,2.233333333,2.083333333
77,"Calathes, Nick",-40.17350611,236.2270654,207,233,-0.172418481,1.013850066,0.888412017,0.420600858,0.473834805,0.994268579,10.74463519,12.86300351,4.156652361,3.579399142,3.935622318
78,"Calderon, Jose",0.712182404,324.2189346,342,346,0.002058331,0.937048944,0.988439306,0.413294798,0.39667559,0.994268579,19.58150289,11.76211686,4.68150289,2.669942197,2.187861272
79,"Caldwell-Pope, Kentavious",-120.2674547,995.3528393,933,971,-0.123859377,1.025080164,0.960865088,0.401647786,0.431532768,0.994268579,16.79546859,12.16318442,4.448094748,2.023892894,1.438722966
80,"Canaan, Isaiah",-11.85054135,375.0909608,379,367,-0.032290303,1.022046215,1.032697548,0.392370572,0.39503486,0.994268579,19.25122616,12.59626997,4.599182561,3.532697548,3.351498638
81,"Capela, Clint",-8.966201478,34.73501209,28,29,-0.309179361,1.197759038,0.965517241,0.482758621,0.598879519,0.994268579,3.482758621,12.72228331,2.265517241,1.04137931,0.172413793
82,"Carroll, DeMarre",-15.81837545,716.521188,742,642,-0.024639214,1.116076617,1.15576324,0.485981308,0.467467775,0.994268579,14.43831776,13.1758776,4.697196262,1.609657321,0.836448598
83,"Carter, Vince",-87.41289232,396.5719929,335,401,-0.217987263,0.988957588,0.835411471,0.331670823,0.393169557,0.994268579,19.59700748,11.72350632,4.650374065,1.982044888,1.236907731
84,"Carter-Williams, Michael",-131.172354,849.3126316,764,915,-0.143357764,0.928210526,0.834972678,0.397814208,0.43502938,0.994268579,11.73016393,12.46242455,3.473661202,4.996174863,4.828415301
85,"Casspi, Omri",-1.291959787,428.4964997,453,421,-0.003068788,1.017806413,1.076009501,0.496437055,0.470943776,0.994268579,9.56128266,13.38596178,3.724703088,2.09976247,1.3847981
86,"Chalmers, Mario",-74.16728369,642.551357,600,642,-0.115525364,1.000858811,0.934579439,0.411214953,0.433796643,0.994268579,14.17554517,11.4140998,4.243302181,3.358099688,3.154205607
87,"Chandler, Tyson",-18.80047313,564.6496371,578,433,-0.043419107,1.304040732,1.334872979,0.66743649,0.652020366,0.994268579,4.257736721,15.73621788,3.22147806,0.902771363,0.124711316
88,"Chandler, Wilson",-84.02054273,990.9844637,973,971,-0.08652991,1.020581322,1.002059732,0.429454171,0.433608184,0.994268579,14.92523172,12.87107199,3.998661174,2.389804325,1.52523172
89,"Cherry, Will",-10.16918063,21.47014502,12,19,-0.535220033,1.130007633,0.631578947,0.263157895,0.468804838,0.994268579,14.44210526,13.11578947,4.863157895,2.221052632,1.631578947
90,"Christopher, Patrick",-7.0347385,12.22526621,6,12,-0.586228208,1.018772184,0.5,0.25,0.445838557,0.994268579,17.1,12.09166667,5.258333333,1.975,1.25
91,"Clark, Earl",-6.71784325,31.09744899,26,30,-0.223928108,1.036581633,0.866666667,0.366666667,0.429103115,0.994268579,19.73,13.19333333,5.953333333,1.296666667,0.4
92,"Clark, Ian",-13.85139805,54.6069564,44,53,-0.261347133,1.030319932,0.830188679,0.320754717,0.408304156,0.994268579,18.78113208,11.53962264,5.566037736,1.979245283,1.41509434
93,"Clarkson, Jordan",-2.811738803,550.8261879,572,592,-0.004749559,0.930449642,0.966216216,0.451013514,0.430107649,0.994268579,13.61570946,12.19008901,3.789358108,5.25472973,5.001689189
94,"Claver, Victor",1.175852547,22.07591072,24,20,0.058792627,1.103795536,1.2,0.45,0.449952771,0.994268579,16.99,9.469873864,5.42,0.975,0.2
95,"Cole, Norris",-50.04259575,533.3812722,510,548,-0.091318605,0.973323489,0.930656934,0.416058394,0.4292284,0.994268579,15.42609489,10.55861955,4.546167883,3.648722628,3.211678832
96,"Collison, Darren",20.16245136,533.0926381,580,550,0.036659002,0.969259342,1.054545455,0.472727273,0.433320758,0.994268579,15.29618182,13.46737198,4.267818182,4.912181818,4.663636364
97,"Collison, Nick",-54.71022499,264.8713479,228,251,-0.217969024,1.055264334,0.908366534,0.422310757,0.481252827,0.994268579,12.25099602,12.5466035,4.495219124,1.241434263,0.326693227
98,"Conley, Mike",-15.87078395,859.6626119,889,875,-0.018138039,0.982471556,1.016,0.446857143,0.43541551,0.994268579,14.29097143,12.2347063,4.339314286,4.297257143,4.2
99,"Cooley, Jack",-4.740981355,21.22170123,18,22,-0.215499152,0.964622783,0.818181818,0.409090909,0.482311392,0.994268579,6.854545455,11.35,3.072727273,1.127272727,0.181818182
100,"Copeland, Chris",-55.50973342,301.8029204,268,299,-0.185651282,1.009374316,0.89632107,0.364548495,0.407917488,0.994268579,16.78227425,11.47832263,4.174247492,2.088963211,1.123745819
101,"Cotton, Bryce",-0.33208484,62.47632467,65,69,-0.004812824,0.905453981,0.942028986,0.420289855,0.402214839,0.994268579,16.13478261,12.52749967,4.530434783,4.22173913,4.246376812
102,"Cousins, DeMarcus",-93.31315994,994.2331487,984,1050,-0.088869676,0.946888713,0.937142857,0.467619048,0.472400244,0.994268579,8.585428571,11.87721887,3.324,2.551142857,1.160952381
103,"Covington, Robert",-63.51825555,765.5700999,750,741,-0.085719643,1.03315803,1.012145749,0.395411606,0.410693181,0.994268579,17.76936572,13.84025106,4.384615385,1.751012146,0.786774629
104,"Crabbe, Allen",-21.26718585,169.7004776,156,152,-0.139915696,1.116450511,1.026315789,0.414473684,0.450678858,0.994268579,18.34605263,12.55846965,5.636842105,1.339473684,0.493421053
105,"Crawford, Jamal",-23.22414175,756.1543835,783,839,-0.027680741,0.901256715,0.933253874,0.395709178,0.377640093,0.994268579,18.89058403,12.5037419,3.840047676,3.544219309,3.221692491
106,"Crowder, Jae",-94.89731947,575.7626587,517,542,-0.175087305,1.062292728,0.953874539,0.420664207,0.460322642,0.994268579,15.36365314,13.49423855,4.687084871,1.525276753,0.763837638
107,"Cunningham, Dante",-27.12010062,315.0502668,311,338,-0.080236984,0.932101381,0.920118343,0.458579882,0.461684071,0.994268579,14.26923077,11.5641564,4.767455621,1.115680473,0.23964497
108,"Cunningham, Jared",-10.36634423,36.94486656,28,33,-0.314131643,1.119541411,0.848484848,0.363636364,0.481937314,0.994268579,15.00606061,12.90140048,4.639393939,2.093939394,1.484848485
109,"Curry, Seth",-2.334130372,2.378810967,0,3,-0.778043457,0.792936989,0,0,0.335851413,0.994268579,22.9,11.83333333,2.4,3.033333333,0.333333333
110,"Curry, Stephen",213.7678493,1297.575506,1573,1319,0.162068119,0.983757017,1.192570129,0.489006823,0.407722221,0.994268579,17.75041698,14.82812224,4.510993177,3.913115997,3.680060652
111,"Dalembert, Samuel",-26.79186382,131.829213,114,130,-0.20609126,1.014070869,0.876923077,0.438461538,0.507035435,0.994268579,8.557692308,12.10493208,3.590769231,1.501538462,0.369230769
112,"Daniels, Troy",-9.240068584,163.6681282,162,161,-0.05739173,1.016572225,1.00621118,0.372670807,0.380001014,0.994268579,22.26583851,12.77197134,5.149068323,1.716149068,0.962732919
113,"Datome, Gigi",10.69511588,88.24252732,104,89,0.120169841,0.991489071,1.168539326,0.483146067,0.41570507,0.994268579,18.36404494,12.44324425,4.857303371,1.823595506,1.314606742
114,"Davies, Brandon",-32.03729823,139.395028,118,137,-0.233848892,1.017481956,0.861313869,0.401459854,0.462632909,0.994268579,12.29927007,12.74415138,4.221167883,1.608759124,0.364963504
115,"Davis, Anthony",11.12250676,1171.924431,1277,1193,0.009323141,0.982333974,1.070410729,0.534786253,0.489504388,0.994268579,10.62984074,11.93318373,3.695808885,1.916093881,0.576697402
116,"Davis, Ed",21.24959004,509.5857434,562,460,0.046194761,1.107795094,1.22173913,0.610869565,0.553897547,0.994268579,4.384130435,13.69207695,2.240434783,1.236956522,0.382608696
117,"Davis, Glen",-34.19914273,252.1548885,234,255,-0.134114285,0.9888427,0.917647059,0.458823529,0.492284326,0.994268579,7.76745098,10.763882,3.771764706,1.715294118,0.525490196
118,"Dawkins, Andre",-3.615607102,6.065087183,3,6,-0.602601184,1.010847864,0.5,0.166666667,0.336949288,0.994268579,24.83333333,11.21666667,4.05,1.233333333,0.166666667
119,"Daye, Austin",-24.15351398,141.2244259,124,140,-0.1725251,1.008745899,0.885714286,0.357142857,0.40928867,0.994268579,17.96642857,11.50102638,5.163571429,1.553571429,0.735714286
120,"DeRozan, DeMar",-84.7348394,852.3368169,828,971,-0.08726554,0.877792808,0.852729145,0.414006179,0.423032674,0.994268579,13.44953656,11.39860402,3.447476828,3.645108136,3.093717817
121,"Dedmon, Dewayne",-13.37249374,181.3729762,180,157,-0.085175119,1.155241887,1.146496815,0.573248408,0.577502383,0.994268579,4.829936306,14.92224479,2.957961783,1.078343949,0.343949045
122,"Dellavedova, Matthew",-25.2895828,299.5100497,290,305,-0.082916665,0.982000163,0.950819672,0.363934426,0.389392605,0.994268579,18.18295082,10.8638848,5.401967213,3.095737705,2.813114754
123,"Deng, Luol",-37.93257418,770.6575949,781,757,-0.050109081,1.018041737,1.031704095,0.464993395,0.455852386,0.994268579,13.77780713,11.76253121,4.139233818,1.812681638,0.948480845
124,"Diaw, Boris",-30.8653782,622.4379331,636,631,-0.048915021,0.986430956,1.00792393,0.461172742,0.442060808,0.994268579,12.26561014,11.05889807,4.719175911,2.356418384,1.515055468
125,"Dieng, Gorgui",-21.84129551,496.4004937,513,501,-0.0435954,0.990819349,1.023952096,0.510978044,0.494219904,0.994268579,8.268463074,11.57651418,3.423153693,1.995409182,0.437125749
126,"Dinwiddie, Spencer",-52.8148706,155.7205974,114,169,-0.312514027,0.921423653,0.674556213,0.301775148,0.398054591,0.994268579,16.19230769,11.48451089,3.973964497,5.85147929,5.621301775
127,"Dorsey, Joey",-23.71983524,172.5875923,158,143,-0.165872974,1.20690624,1.104895105,0.552447552,0.603357317,0.994268579,3.783916084,13.71986833,2.593706294,1.418881119,0.391608392
128,"Douglas, Toney",-7.549794901,48.33962716,43,51,-0.148035194,0.947835827,0.843137255,0.37254902,0.410775612,0.994268579,15.8254902,10.97732732,4.47254902,3.776470588,3.509803922
129,"Douglas-Roberts, Chris",-11.98697361,22.26649495,11,21,-0.570808267,1.060309283,0.523809524,0.238095238,0.46538905,0.994268579,12.0047619,13.31904762,5.180952381,2.185714286,1.714285714
130,"Dragic, Goran",-8.809562677,1022.113848,1064,962,-0.00915755,1.062488407,1.106029106,0.508316008,0.484227167,0.994268579,11.602079,13.81566238,4.004469854,3.47993763,3.143451143
131,"Dragic, Zoran",-10.79237523,34.02194117,25,30,-0.359745841,1.134064706,0.833333333,0.366666667,0.479837583,0.994268579,14.84666667,14.33324924,4.35,2.033333333,1.4
132,"Drew, Larry",-9.439208963,51.05082795,44,57,-0.165600157,0.895628561,0.771929825,0.350877193,0.376508968,0.994268579,20.43508772,10.30252093,5.424561404,2.819298246,2.175438596
133,"Drummond, Andre",-178.5953481,1087.600542,982,949,-0.188193201,1.146049043,1.034773446,0.517386723,0.57297969,0.994268579,4.563013699,14.89728771,2.633719705,1.50052687,0.600632244
134,"Dudley, Jared",-8.176909814,443.5654999,463,412,-0.019846868,1.076615291,1.123786408,0.473300971,0.448627759,0.994268579,18.06650485,12.97287872,5.749514563,1.215291262,0.405339806
135,"Duncan, Tim",-10.56600791,788.2604787,838,815,-0.012964427,0.967190771,1.028220859,0.512883436,0.482576747,0.994268579,8.377546012,10.87864511,3.237300613,2.060490798,0.755828221
136,"Dunleavy, Mike",3.052854909,494.2514342,523,480,0.006360114,1.029690488,1.089583333,0.433333333,0.414120356,0.994268579,18.67104167,12.9035259,4.970833333,1.251666667,0.520833333
137,"Durant, Kevin",47.83226427,458.65637,540,467,0.102424549,0.982133555,1.156316916,0.509635974,0.432137215,0.994268579,16.19036403,13.76013889,3.863811563,3.272162741,2.122055675
138,"Early, Cleanthony",-57.74942073,216.8905176,174,213,-0.271124041,1.018265341,0.816901408,0.356807512,0.439077636,0.994268579,15.88638498,12.1736497,4.067605634,1.766666667,0.737089202
139,"Ellington, Wayne",-24.27179032,586.1051063,596,614,-0.039530603,0.954568577,0.970684039,0.412052117,0.40692129,0.994268579,18.54039088,12.53889073,4.459934853,2.721986971,2.029315961
140,"Ellis, Monta",-84.79020435,1292.424163,1285,1353,-0.062668296,0.955228501,0.949741316,0.444937177,0.440276141,0.994268579,14.32298596,12.55946631,4.311234294,3.842276423,3.118255728
141,"Ennis, James",-57.8886474,274.2600199,233,245,-0.236280193,1.119428653,0.951020408,0.412244898,0.484901839,0.994268579,14.21918367,13.06998455,4.820816327,1.52,0.844897959
142,"Ennis, Tyler",-29.54937283,139.9302277,116,144,-0.205203978,0.971737692,0.805555556,0.361111111,0.432877941,0.994268579,13.73194444,11.95584146,4.345833333,4.630555556,4.479166667
143,"Evans, Jeremy",-0.620252088,63.17804454,66,58,-0.010694002,1.08927663,1.137931034,0.551724138,0.528693297,0.994268579,7.732758621,10.50773687,2.920689655,1.122413793,0.224137931
144,"Evans, Reggie",-30.12310357,134.4919191,116,136,-0.221493409,0.98891117,0.852941176,0.426470588,0.491734881,0.994268579,4.402205882,12.82931902,2.718382353,1.707352941,0.426470588
145,"Evans, Tyreke",-109.4726378,1149.026566,1111,1159,-0.09445439,0.991394794,0.958584987,0.449525453,0.461582388,0.994268579,10.20724763,11.98091512,3.609749784,5.1811044,4.608283003
146,"Exum, Dante",-94.48757766,442.1829926,368,414,-0.228230864,1.068074861,0.888888889,0.345410628,0.415057648,0.994268579,19.66400966,10.15213126,5.939613527,2.285024155,1.70531401
147,"Ezeli, Festus",-7.249321705,146.7742889,150,137,-0.052914757,1.071345174,1.094890511,0.547445255,0.535672587,0.994268579,5.480291971,11.72955284,2.727737226,1.439416058,0.510948905
148,"Faried, Kenneth",-102.4951244,782.3661574,737,729,-0.140596878,1.073204605,1.010973937,0.504801097,0.535575392,0.994268579,5.842935528,14.35598549,2.798216735,1.634156379,0.710562414
149,"Farmar, Jordan",-8.520542005,158.7550684,157,158,-0.053927481,1.004778914,0.993670886,0.386075949,0.390527831,0.994268579,20.51139241,11.23445375,5.242405063,3.927848101,3.487341772
150,"Favors, Derrick",-20.4218369,916.3858401,965,913,-0.022367839,1.003708478,1.056955093,0.527929901,0.500789754,0.994268579,8.036692223,10.98420295,3.098028478,1.741401972,0.595837897
151,"Felton, Raymond",-9.056414016,100.2926097,96,106,-0.085437868,0.946156695,0.905660377,0.405660377,0.418470886,0.994268579,15.59716981,12.86920873,4.391509434,4.450943396,4.41509434
152,"Fields, Landry",-3.828877174,38.77817865,37,38,-0.100759926,1.020478386,0.973684211,0.473684211,0.500916485,0.994268579,7.05,13.46315789,3.360526316,2.278947368,1.789473684
153,"Fournier, Evan",-31.88341501,590.0730554,591,571,-0.055837855,1.033402899,1.03502627,0.443082312,0.444326941,0.994268579,14.63169877,12.53725438,4.773730298,2.670052539,2.033274956
154,"Foye, Randy",-34.28044263,401.9288053,390,402,-0.085274733,0.999822899,0.970149254,0.368159204,0.383293459,0.994268579,20.47661692,12.86920016,4.780099502,3.171890547,2.495024876
155,"Franklin, Jamaal",0.866095011,2.009263112,3,2,0.433047505,1.004631556,1.5,0.5,0.334877185,0.994268579,25.3,12.9,3.85,2.3,1
156,"Frazier, Tim",-10.12792015,50.25776049,43,52,-0.194767695,0.966495394,0.826923077,0.365384615,0.427531299,0.994268579,14.66923077,13.03170651,5.036538462,4.663461538,4.442307692
157,"Fredette, Jimmer",-32.41868871,158.0952603,135,166,-0.195293305,0.952381086,0.813253012,0.379518072,0.422887253,0.994268579,14.1253012,11.03248453,4.606024096,3.658433735,3.427710843
158,"Freeland, Joel",-7.470018356,145.9705825,148,150,-0.049800122,0.973137217,0.986666667,0.493333333,0.486568608,0.994268579,10.39666667,12.7432997,4.024,1.483333333,0.44
159,"Frye, Channing",-8.437973331,485.9385611,512,485,-0.017397883,1.001935177,1.055670103,0.389690722,0.374704049,0.994268579,21.64659794,12.09646884,5.626597938,1.110309278,0.255670103
160,"Gallinari, Danilo",-41.19799837,565.276688,563,567,-0.072659609,0.996960649,0.992945326,0.402116402,0.403940104,0.994268579,18.87425044,11.90495749,4.55696649,2.546560847,1.225749559
161,"Galloway, Langston",-44.27151699,481.0628862,465,501,-0.088366301,0.960205362,0.928143713,0.403193613,0.421390987,0.994268579,16.71117764,12.20294869,4.539321357,2.616566866,2.229540918
162,"Garcia, Francisco",-27.60739982,68.17152503,44,63,-0.438212696,1.082087699,0.698412698,0.26984127,0.40588262,0.994268579,20.28253968,12.70622908,5.76031746,1.915873016,1.365079365
163,"Garnett, Kevin",-5.764437454,266.7713111,281,299,-0.019279055,0.892211743,0.939799331,0.468227425,0.441769739,0.994268579,14.78060201,11.46737021,5.15451505,1.473578595,0.401337793
164,"Gasol, Marc",-18.31774724,998.4436251,1059,1069,-0.017135404,0.933997778,0.990645463,0.493919551,0.4650402,0.994268579,11.01244153,10.47332145,4.178765201,2.308231993,0.839101964
165,"Gasol, Pau",-8.622137823,1066.847973,1146,1145,-0.007530251,0.931744954,1.000873362,0.495196507,0.46137628,0.994268579,10.27475983,11.51995153,3.770917031,2.271965066,0.971179039
166,"Gay, Rudy",-8.922217151,1021.635127,1093,1112,-0.008023577,0.918736625,0.982913669,0.455935252,0.423863108,0.994268579,13.09568345,12.09187925,3.582284173,3.522841727,2.577338129
167,"Gee, Alonzo",-38.18972365,211.6971214,185,185,-0.206430939,1.144308764,1,0.464864865,0.532753931,0.994268579,8.862162162,14.26368833,4.175135135,2.08,1.437837838
168,"George, Paul",-6.608593722,49.08123865,45,49,-0.13486926,1.001657932,0.918367347,0.367346939,0.422571641,0.994268579,17.50204082,11.37540724,4.416326531,3.120408163,2.285714286
169,"Gibson, Taj",-49.0282672,517.2661226,508,504,-0.097278308,1.026321672,1.007936508,0.503968254,0.513160836,0.994268579,6.48968254,12.14450111,2.729761905,1.73968254,0.577380952
170,"Ginobili, Manu",-46.28674379,598.9450276,589,585,-0.079122639,1.023837654,1.006837607,0.427350427,0.431985635,0.994268579,15.02529915,12.13994101,4.255213675,3.338119658,2.774358974
171,"Gobert, Rudy",-34.60182185,519.2240897,514,424,-0.08160807,1.224585117,1.212264151,0.606132075,0.612036655,0.994268579,3.802122642,14.74748491,2.551179245,0.999292453,0.226415094
172,"Gooden, Drew",-36.23372966,257.265644,240,272,-0.133212241,0.945829574,0.882352941,0.400735294,0.433470294,0.994268579,15.69044118,12.67607512,5.133823529,1.320220588,0.356617647
173,"Goodwin, Archie",-44.95722311,204.4621878,170,196,-0.229373587,1.043174427,0.867346939,0.403061224,0.486922007,0.994268579,10.65510204,12.96343675,3.741836735,3.048979592,2.581632653
174,"Gordon, Aaron",-42.29119399,224.7730999,197,206,-0.205297058,1.091131553,0.95631068,0.446601942,0.499373929,0.994268579,10.79029126,13.38783959,4.182038835,1.885436893,1.155339806
175,"Gordon, Ben",17.16193788,259.5995744,293,292,0.05877376,0.889039639,1.003424658,0.441780822,0.386783654,0.994268579,16.92842466,11.45954584,4.031506849,3.35890411,2.660958904
176,"Gordon, Drew",-6.138288529,21.32229435,16,19,-0.323067817,1.122226018,0.842105263,0.421052632,0.533088407,0.994268579,10.71052632,13.65263158,4.236842105,1.042105263,0.210526316
