,Shooter,value_added_x,value_added_y,Shot_taken,shot_worth_y,shot_worth_x
0,"Acy, Quincy",-11.319173287467235,-0.03461520883017503,327.0,1.013208481001428,331.3191732874669
1,"Adams, Jordan",-8.021567415813076,-0.0932740397187567,86.0,1.0235065978582916,88.02156741581307
2,"Adams, Steven",-14.633909185605354,-0.037331400983687126,392.0,1.1291681356775642,442.63390918560515
3,"Adrien, Jeff",-8.738562917370214,-0.20322239342721427,43.0,1.0404316957527955,44.73856291737021
4,"Afflalo, Arron",27.243460297915757,0.030958477611267906,880.0,0.9531324314796426,838.7565397020854
5,"Ajinca, Alexis",46.19548536064029,0.14170394282404997,326.0,0.9687255050287107,315.8045146393597
6,"Aldemir, Furkan",-4.949474239463203,-0.06427888622679485,77.0,1.1032399251878338,84.9494742394632
7,"Aldrich, Cole",2.783419210271583,0.009435319356852824,295.0,0.9532765450499269,281.2165807897284
8,"Aldridge, LaMarcus",90.7976077010629,0.06462463181570313,1405.0,0.8898237667608089,1250.2023922989365
9,"Allen, Lavoy",-4.140781473141686,-0.014841510656421815,279.0,0.961078069796206,268.1407814731415
10,"Allen, Tony",-72.03664205735798,-0.16151713465775333,446.0,1.1660014395904879,520.0366420573575
11,"Aminu, Al-Farouq",-80.56620868246202,-0.2269470667111606,355.0,1.145256925866091,406.5662086824623
12,"Amundson, Lou",-38.405970067185564,-0.15548975735702658,247.0,0.9814006885311155,242.40597006718554
13,"Andersen, Chris",-1.0682305153492526,-0.005506342862625013,194.0,1.196227992347161,232.06823051534923
14,"Anderson, Alan",23.910908014732165,0.055477744813763726,431.0,1.0094874524020137,435.0890919852679
15,"Anderson, Kyle",-17.949333579870483,-0.2016779053918032,89.0,0.9320149840434887,82.9493335798705
16,"Anderson, Ryan",-25.67904856740957,-0.03532193750675319,727.0,1.0036850736828196,729.6790485674098
17,"Antetokounmpo, Giannis",-41.11476120717787,-0.053815132470128105,764.0,1.0446528288052068,798.1147612071779
18,"Anthony, Carmelo",42.61883878129564,0.054153543559460796,787.0,0.9089976635561671,715.3811612187035
19,"Anthony, Joel",5.487132309935794,0.08995298868747204,61.0,1.0575879949190852,64.5128676900642
20,"Antic, Pero",-52.759375177637125,-0.1788453395852106,295.0,1.0873199158563958,320.75937517763674
21,"Ariza, Trevor",-91.82026533367755,-0.10247797470276512,896.0,1.1136386889884788,997.820265333677
22,"Arthur, Darrell",-42.99166206019315,-0.11283900803200302,381.0,0.9894794279795084,376.9916620601927
23,"Asik, Omer",-77.20847286923299,-0.18831334846154388,410.0,1.217581641144471,499.20847286923316
24,"Augustin, D.J.",-27.114145417144368,-0.04203743475526259,645.0,0.9707196052978978,626.1141454171441
25,"Ayres, Jeff",-1.3189720541246295,-0.014031617597070526,94.0,1.184244383554517,111.31897205412461
26,"Babbitt, Luke",38.34943468361913,0.20078238054250852,191.0,1.0557621220752922,201.6505653163808
27,"Bairstow, Cameron",-7.16976609017114,-0.5121261492979385,14.0,0.9406975778693673,13.16976609017114
28,"Barbosa, Leandro",16.493563688335946,0.04340411496930512,380.0,1.0039643060833265,381.50643631166406
29,"Barea, Jose Juan",-5.98423402268137,-0.011185484154544617,535.0,0.9532415589209,509.9842340226815
30,"Bargnani, Andrea",25.353538068495805,0.07042649463471057,360.0,0.8823512831430677,317.64646193150435
31,"Barnes, Harrison",11.545324149432448,0.017872018807170972,646.0,1.0811991886231687,698.4546758505669
32,"Barnes, Matt",-12.935662953620819,-0.02099945284678704,616.0,1.1281423099896422,694.9356629536196
33,"Barron, Earl",-11.622819806232327,-0.29802102067262376,39.0,0.9646876873392903,37.62281980623232
34,"Barton, Will",-29.763610089742293,-0.08503888597069227,350.0,1.0078960288278356,352.76361008974243
35,"Bass, Brandon",3.2452143054923566,0.004786451778012325,678.0,1.0173374420272983,689.7547856945082
36,"Batum, Nicolas",-52.88111337409885,-0.08842995547508169,598.0,1.058329621026921,632.8811133740988
37,"Bayless, Jerryd",-41.14194368660467,-0.08082896598547086,509.0,1.004208140838123,511.1419436866046
38,"Baynes, Aron",16.377476879690608,0.05070426278541984,323.0,1.0855186474312981,350.6225231203093
39,"Bazemore, Kent",-29.117794605122246,-0.08877376404000685,328.0,1.085724983552203,356.1177946051225
40,"Beal, Bradley",-8.842755097734107,-0.010440088663204377,847.0,0.986827337777726,835.842755097734
41,"Beasley, Michael",-7.697414036632814,-0.03754836115430641,205.0,0.9448654343250387,193.69741403663292
42,"Belinelli, Marco",16.032182666950447,0.0341110269509584,470.0,0.9956762070915944,467.96781733304937
43,"Bennett, Anthony",-41.15878931630072,-0.13999588202823374,294.0,1.000540099715308,294.15878931630056
44,"Beverley, Patrick",-45.97650177729532,-0.08642199582198368,532.0,1.069504702588901,568.9765017772954
45,"Bhullar, Sim",0.5044743102777388,0.2522371551388694,2.0,0.7477628448611306,1.4955256897222613
46,"Biyombo, Bismack",-10.436749329027823,-0.05641486123798823,185.0,1.1483067531298794,212.4367493290277
47,"Black, Tarik",8.802567115019377,0.0335975844084709,262.0,1.1267077591029788,295.19743288498046
48,"Blair, DeJuan",-3.529456752876547,-0.06192029391011486,57.0,0.9742009956645008,55.52945675287655
49,"Blake, Steve",2.279906257142035,0.0069721903888135634,327.0,0.9746791857579745,318.72009374285767
50,"Bledsoe, Eric",-29.348825853598182,-0.028549441491827025,1028.0,1.014930764449025,1043.3488258535979
51,"Blue, Vander",-7.3109355189459055,-0.24369785063153018,30.0,0.910364517298197,27.31093551894591
52,"Bogdanovic, Bojan",-2.496871030453997,-0.004450750499917998,561.0,1.0828821230489378,607.4968710304541
53,"Bogut, Andrew",-0.21577458086608714,-0.0006182652746879288,349.0,1.1180967753033415,390.2157745808662
54,"Bonner, Matt",6.208639936569865,0.027111964788514693,229.0,0.985988471892708,225.79136006343012
55,"Booker, Trevor",4.718301677680369,0.010212774194113353,462.0,1.0222547582734192,472.2816983223197
56,"Boozer, Carlos",41.273050324581924,0.056153809965417585,735.0,0.950648911123017,698.7269496754175
57,"Bosh, Chris",49.013811103894355,0.0658787783654494,744.0,0.9408416517420777,699.9861888961058
58,"Bradley, Avery",-8.044935613088647,-0.007965282785236285,1010.0,0.9881633025872174,998.0449356130896
59,"Brand, Elton",-3.681486309781563,-0.03958587429872649,93.0,0.9428116807503394,87.68148630978156
60,"Brewer, Corey",-126.90418317179657,-0.1608418037665356,789.0,1.0835287492671688,854.9041831717963
61,"Brooks, Aaron",36.82019234819144,0.04551321674683738,809.0,0.9433619377649071,763.1798076518098
62,"Brown, Jabari",-6.5168931414832265,-0.03833466553813663,170.0,0.9971581949499018,169.5168931414833
63,"Brown, Lorenzo",-10.903490580164942,-0.08937287360790935,122.0,0.9910122178702044,120.90349058016494
64,"Brown, Markel",-45.340103033740434,-0.21798126458529055,208.0,1.020865879969906,212.34010303374046
65,"Brown, Shannon",-4.216292662648472,-0.22191014013939328,19.0,1.1166469822446565,21.216292662648474
66,"Bryant, Kobe",-32.381755734430946,-0.0456081066682126,710.0,0.870960219344268,618.3817557344303
67,"Budinger, Chase",-18.644493150520525,-0.04817698488506596,387.0,1.045593005556901,404.6444931505207
68,"Bullock, Reggie",-12.083714688024482,-0.17262449554320689,70.0,1.0726244955432067,75.08371468802447
69,"Burke, Trey",-55.75001615431501,-0.05558326635524927,1003.0,0.9150050011508614,917.7500161543139
70,"Burks, Alec",-9.358207467451,-0.031194024891503337,300.0,0.9245273582248364,277.35820746745094
