espn_player_name,espn_player_id,espn_first_name_lower,espn_last_name_lower,nba_id,nba_name,nba_first,nba_last
lance thomas,6485,lance,thomas,202498,"Thomas, Lance",lance,thomas
landry fields,4274,landry,fields,202361,"Fields, Landry",landry,fields
langston galloway,2530572,langston,galloway,204038,"Galloway, Langston",langston,galloway
larry drew ii,2325495,larry,drew,203580,"Drew, Larry",larry,drew
larry sanders,4265,larry,sanders,202336,"Sanders, Larry",larry,sanders
lavoy allen,6424,lavoy,allen,202730,"Allen, Lavoy",lavoy,allen
leandro barbosa,2166,leandro,barbosa,2571,"Barbosa, Leandro",leandro,barbosa
lebron james,1966,lebron,james,2544,"James, LeBron",lebron,james
lester hudson,3996,lester,hudson,201991,"Hudson, Lester",lester,hudson
lorenzo brown,2528787,lorenzo,brown,203485,"Brown, Lorenzo",lorenzo,brown
lou amundson,3041,lou,amundson,200811,"Amundson, Lou",lou,amundson
louis williams,2799,louis,williams,101150,"Williams, Lou",lou,williams
luc richard mbah a moute,3451,luc,richard,201601,"Mbah a Moute, Luc",luc,mbahamoute
lucas nogueira,3032980,lucas,nogueira,203512,"Nogueira, Lucas",lucas,nogueira
luis scola,1781,luis,scola,2449,"Scola, Luis",luis,scola
luke babbitt,4250,luke,babbitt,202337,"Babbitt, Luke",luke,babbitt
luke ridnour,1985,luke,ridnour,2557,"Ridnour, Luke",luke,ridnour
luol deng,2429,luol,deng,2736,"Deng, Luol",luol,deng
malcolm thomas,6511,malcolm,thomas,202952,"Thomas, Malcolm",malcolm,thomas
manu ginobili,272,manu,ginobili,1938,"Ginobili, Manu",manu,ginobili
marc gasol,3206,marc,gasol,201188,"Gasol, Marc",marc,gasol
marcin gortat,2758,marcin,gortat,101162,"Gortat, Marcin",marcin,gortat
marco belinelli,3190,marco,belinelli,201158,"Belinelli, Marco",marco,belinelli
marcus morris,6462,marcus,morris,202694,"Morris, Marcus",marcus,morris
marcus smart,2990992,marcus,smart,203935,"Smart, Marcus",marcus,smart
marcus thornton,4017,marcus,thornton,201977,"Thornton, Marcus",marcus,thornton
mario chalmers,3419,mario,chalmers,201596,"Chalmers, Mario",mario,chalmers
markel brown,2530750,markel,brown,203900,"Brown, Markel",markel,brown
markieff morris,6461,markieff,morris,202693,"Morris, Markieff",markieff,morris
marreese speights,3460,marreese,speights,201578,"Speights, Marreese",marreese,speights
martell webster,2795,martell,webster,101110,"Webster, Martell",martell,webster
marvin williams,2797,marvin,williams,101107,"Williams, Marvin",marvin,williams
mason plumlee,2488653,mason,plumlee,203486,"Plumlee, Mason",mason,plumlee
matt barnes,1765,matt,barnes,2440,"Barnes, Matt",matt,barnes
matt bonner,1996,matt,bonner,2588,"Bonner, Matt",matt,bonner
matthew dellavedova,2489716,matthew,dellavedova,203521,"Dellavedova, Matthew",matthew,dellavedova
maurice harkless,6591,maurice,harkless,203090,"Harkless, Maurice",maurice,harkless
meyers leonard,6605,meyers,leonard,203086,"Leonard, Meyers",meyers,leonard
michael beasley,3418,michael,beasley,201563,"Beasley, Michael",michael,beasley
michael carterwilliams,2596108,michael,carterwilliams,203487,"Carter-Williams, Michael",michael,carterwilliams
michael kiddgilchrist,6601,michael,kiddgilchrist,203077,"Kidd-Gilchrist, Michael",michael,kiddgilchrist
mike conley,3195,mike,conley,201144,"Conley, Mike",mike,conley
mike dunleavy,1708,mike,dunleavy,2399,"Dunleavy, Mike",mike,dunleavy
mike miller,558,mike,miller,2034,"Miller, Mike",mike,miller
mike muscala,2490089,mike,muscala,203488,"Muscala, Mike",mike,muscala
mike scott,6622,mike,scott,203118,"Scott, Mike",mike,scott
miles plumlee,6616,miles,plumlee,203101,"Plumlee, Miles",miles,plumlee
miroslav raduljica,3047256,miroslav,raduljica,203545,"Raduljica, Miroslav",miroslav,raduljica
mirza teletovic,4385,mirza,teletovic,203141,"Teletovic, Mirza",mirza,teletovic
mitch mcgary,2991041,mitch,mcgary,203956,"McGary, Mitch",mitch,mcgary
mo williams,2178,mo,williams,2590,"Williams, Mo",mo,williams
monta ellis,2751,monta,ellis,101145,"Ellis, Monta",monta,ellis
nate robinson,2782,nate,robinson,101126,"Robinson, Nate",nate,robinson
nate wolters,2491079,nate,wolters,203489,"Wolters, Nate",nate,wolters
nazr mohammed,568,nazr,mohammed,1737,"Mohammed, Nazr",nazr,mohammed
nerlens noel,2991280,nerlens,noel,203457,"Noel, Nerlens",nerlens,noel
nick calathes,3969,nick,calathes,201979,"Calathes, Nick",nick,calathes
nick collison,1978,nick,collison,2555,"Collison, Nick",nick,collison
nick johnson,2580589,nick,johnson,203910,"Johnson, Nick",nick,johnson
nick young,3243,nick,young,201156,"Young, Nick",nick,young
nicolas batum,3416,nicolas,batum,201587,"Batum, Nicolas",nicolas,batum
nik stauskas,2991042,nik,stauskas,203917,"Stauskas, Nik",nik,stauskas
nikola mirotic,6459,nikola,mirotic,202703,"Mirotic, Nikola",nikola,mirotic
